shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
11,0,6,0,0,2,9,29,2,0,0,6,8,4,139,259,50.61434981351355,3.031880349802311,Lille_50.614350_3.031880,Lille
3,0,5,0,0,2,7,36,2,0,0,6,8,3,137,255,50.61434981351355,3.035431052569106,Lille_50.614350_3.035431,Lille
14,0,5,0,1,2,5,32,3,0,0,6,11,4,136,276,50.61434981351355,3.038981755335901,Lille_50.614350_3.038982,Lille
34,1,8,1,2,1,11,31,3,0,0,4,13,3,192,367,50.61434981351355,3.0425324581026962,Lille_50.614350_3.042532,Lille
41,1,6,1,2,1,13,23,1,0,0,8,12,3,222,407,50.61434981351355,3.0460831608694914,Lille_50.614350_3.046083,Lille
44,1,5,1,2,1,15,20,2,0,0,11,13,3,253,442,50.61434981351355,3.0496338636362865,Lille_50.614350_3.049634,Lille
35,1,5,1,1,1,17,27,1,0,0,10,9,2,265,439,50.61434981351355,3.0531845664030817,Lille_50.614350_3.053185,Lille
31,0,8,1,1,2,16,29,2,1,0,12,6,3,261,428,50.61434981351355,3.056735269169877,Lille_50.614350_3.056735,Lille
29,0,11,2,1,1,14,35,2,1,0,14,7,3,214,380,50.61434981351355,3.060285971936672,Lille_50.614350_3.060286,Lille
26,0,12,2,1,1,15,36,1,2,0,11,4,4,218,382,50.61434981351355,3.063836674703467,Lille_50.614350_3.063837,Lille
28,1,21,2,1,2,17,32,1,2,0,8,5,5,203,373,50.61434981351355,3.0673873774702622,Lille_50.614350_3.067387,Lille
16,2,17,1,1,1,15,37,0,2,0,8,6,6,147,318,50.61434981351355,3.0709380802370574,Lille_50.614350_3.070938,Lille
11,2,14,0,1,1,12,33,0,2,0,6,4,6,128,278,50.61434981351355,3.0744887830038525,Lille_50.614350_3.074489,Lille
11,2,14,0,1,1,9,32,0,1,0,3,4,6,71,230,50.61434981351355,3.0780394857706477,Lille_50.614350_3.078039,Lille
18,0,9,0,2,0,5,33,0,0,0,9,5,4,89,225,50.616602065765804,3.0247789442687205,Lille_50.616602_3.024779,Lille
16,0,8,0,1,1,8,33,0,0,0,9,9,4,117,268,50.616602065765804,3.0283296470355157,Lille_50.616602_3.028330,Lille
16,0,7,0,1,2,11,22,2,0,0,8,8,4,140,288,50.616602065765804,3.031880349802311,Lille_50.616602_3.031880,Lille
12,0,5,0,2,2,12,31,2,0,0,9,8,3,130,278,50.616602065765804,3.035431052569106,Lille_50.616602_3.035431,Lille
18,0,6,0,2,2,10,35,3,0,0,7,12,4,131,291,50.616602065765804,3.038981755335901,Lille_50.616602_3.038982,Lille
37,1,10,1,2,1,16,31,3,0,0,6,15,3,192,387,50.616602065765804,3.0425324581026962,Lille_50.616602_3.042532,Lille
61,1,25,1,3,1,16,30,1,0,0,11,14,3,202,453,50.616602065765804,3.0460831608694914,Lille_50.616602_3.046083,Lille
63,1,25,1,2,1,16,26,2,0,0,11,17,3,220,465,50.616602065765804,3.0496338636362865,Lille_50.616602_3.049634,Lille
62,1,24,1,2,1,18,25,1,0,0,12,12,2,211,448,50.616602065765804,3.0531845664030817,Lille_50.616602_3.053185,Lille
63,0,26,1,2,2,16,26,1,1,0,14,9,3,187,414,50.616602065765804,3.056735269169877,Lille_50.616602_3.056735,Lille
