point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Lille_50.612098_3.049634,Lille,50.612097561261294,3.0496338636362865,43,1,5,1,2,0,12,19,240,1,0,0,7,7,2,396,15.04,3.25,19.7,44.68
Lille_50.612098_3.053185,Lille,50.612097561261294,3.0531845664030817,36,1,5,1,1,0,13,31,261,0,0,0,9,4,1,408,16.75,3.0,22.93,44.92
Lille_50.612098_3.056735,Lille,50.612097561261294,3.056735269169877,25,0,7,1,1,0,14,30,225,1,1,0,12,1,1,359,21.21,1.0,22.25,45.1
Lille_50.612098_3.060286,Lille,50.612097561261294,3.060285971936672,35,0,9,3,2,0,12,38,178,1,1,0,14,2,1,324,27.21,1.29,20.4,45.02
Lille_50.612098_3.063837,Lille,50.612097561261294,3.063836674703467,33,0,9,3,2,0,10,40,183,1,2,0,12,2,3,329,24.14,1.22,19.44,44.96
Lille_50.612098_3.067387,Lille,50.612097561261294,3.0673873774702622,29,0,11,3,2,0,6,32,163,1,2,0,8,2,3,285,18.02,1.07,14.7,44.02
Lille_50.612098_3.070938,Lille,50.612097561261294,3.0709380802370574,24,1,9,6,3,0,7,33,131,0,2,0,7,6,5,267,20.37,2.55,14.45,43.65
Lille_50.612098_3.074489,Lille,50.612097561261294,3.0744887830038525,9,1,7,4,2,0,6,29,117,0,2,0,5,5,5,231,14.37,2.0,12.66,42.96
Lille_50.614350_3.028330,Lille,50.61434981351355,3.028329647035516,14,0,6,0,0,1,10,31,114,0,0,0,8,8,3,238,14.18,1.0,23.71,45.76
Lille_50.614350_3.031880,Lille,50.61434981351355,3.031880349802311,11,0,6,0,0,2,9,29,139,2,0,0,6,8,4,259,11.18,1.0,31.56,47.33
Lille_50.614350_3.035431,Lille,50.61434981351355,3.035431052569106,3,0,5,0,0,2,7,36,137,2,0,0,6,8,3,255,11.12,1.0,31.11,46.91
Lille_50.614350_3.038982,Lille,50.61434981351355,3.038981755335901,14,0,5,0,1,2,5,32,136,3,0,0,6,11,4,276,12.53,1.0,29.05,47.12
Lille_50.614350_3.042532,Lille,50.61434981351355,3.042532458102696,34,1,8,1,2,1,11,31,192,3,0,0,4,13,3,367,11.64,2.92,27.12,46.68
Lille_50.614350_3.046083,Lille,50.61434981351355,3.0460831608694914,41,1,6,1,2,1,13,23,222,1,0,0,8,12,3,407,17.48,3.18,28.39,46.89
Lille_50.614350_3.049634,Lille,50.61434981351355,3.0496338636362865,44,1,5,1,2,1,15,20,253,2,0,0,11,13,3,442,22.33,3.29,30.44,47.39
Lille_50.614350_3.053185,Lille,50.61434981351355,3.0531845664030817,35,1,5,1,1,1,17,27,265,1,0,0,10,9,2,439,19.19,2.96,33.33,47.46
Lille_50.614350_3.056735,Lille,50.61434981351355,3.056735269169877,31,0,8,1,1,2,16,29,261,2,1,0,12,6,3,428,22.14,1.14,40.78,49.49
Lille_50.614350_3.060286,Lille,50.61434981351355,3.060285971936672,29,0,11,2,1,1,14,35,214,2,1,0,14,7,3,380,26.48,1.07,30.62,47.59
Lille_50.614350_3.063837,Lille,50.61434981351355,3.063836674703467,26,0,12,2,1,1,15,36,218,1,2,0,11,4,4,382,21.37,1.0,31.62,47.61
Lille_50.614350_3.067387,Lille,50.61434981351355,3.0673873774702622,28,1,21,2,1,2,17,32,203,1,2,0,8,5,5,373,17.42,2.7,39.94,49.06
Lille_50.614350_3.070938,Lille,50.61434981351355,3.0709380802370574,16,2,17,1,1,1,15,37,147,0,2,0,8,6,6,318,16.4,3.92,29.32,46.16
Lille_50.614350_3.074489,Lille,50.61434981351355,3.0744887830038525,11,2,14,0,1,1,12,33,128,0,2,0,6,4,6,278,11.9,3.74,25.92,45.17
