point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score,global_score
Strasbourg_48.500945_7.780036,Strasbourg,48.50094470900904,7.780035644830023,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,7,0.0,1.0,0.25,39.65,10.225
Strasbourg_48.500945_7.783439,Strasbourg,48.50094470900904,7.7834392946385424,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,1.0,0.12,39.62,10.184999999999999
Strasbourg_48.500945_7.786843,Strasbourg,48.50094470900904,7.786842944447062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.0,0.08,39.62,10.174999999999999
Strasbourg_48.500945_7.790247,Strasbourg,48.50094470900904,7.790246594255581,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.0,0.08,39.62,10.174999999999999
Strasbourg_48.503197_7.759614,Strasbourg,48.503196961261295,7.759613745978906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.503197_7.763017,Strasbourg,48.503196961261295,7.763017395787426,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.0,1.0,0.09,39.62,10.1775
Strasbourg_48.503197_7.766421,Strasbourg,48.503196961261295,7.766421045595945,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0.0,1.0,0.3,39.66,10.239999999999998
Strasbourg_48.503197_7.769825,Strasbourg,48.503196961261295,7.769824695404464,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0.0,1.0,0.34,39.67,10.252500000000001
Strasbourg_48.503197_7.773228,Strasbourg,48.503196961261295,7.773228345212984,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0.0,1.0,0.34,39.67,10.252500000000001
Strasbourg_48.503197_7.776632,Strasbourg,48.503196961261295,7.776631995021503,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0.0,1.0,0.3,39.66,10.239999999999998
