point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Toulouse_43.543958_1.452966,Toulouse,43.543958161261294,1.4529658452185596,5,0,0,0,1,0,6,7,32,0,0,0,2,0,4,137,5.03,1.0,4.17,40.71
Toulouse_43.543958_1.456076,Toulouse,43.543958161261294,1.4560759890130617,5,0,1,0,1,0,9,7,39,1,0,0,3,0,4,180,7.44,1.0,5.66,41.02
Toulouse_43.543958_1.459186,Toulouse,43.543958161261294,1.4591861328075633,5,0,1,0,1,0,14,8,60,1,0,0,4,0,4,215,9.71,1.0,8.52,41.6
Toulouse_43.546210_1.378322,Toulouse,43.54621041351355,1.3783223941505165,1,0,0,0,0,0,2,5,12,0,0,0,1,0,3,45,2.27,1.0,1.67,40.09
Toulouse_43.546210_1.381433,Toulouse,43.54621041351355,1.381432537945018,9,0,2,0,1,0,4,11,30,0,0,0,1,0,3,95,2.89,1.0,3.62,40.65
Toulouse_43.546210_1.384543,Toulouse,43.54621041351355,1.38454268173952,9,0,3,0,1,0,8,14,47,0,0,0,2,0,3,139,5.23,1.0,6.11,41.17
Toulouse_43.546210_1.387653,Toulouse,43.54621041351355,1.3876528255340217,9,0,5,0,1,0,12,17,64,0,0,0,2,0,3,180,5.37,1.0,8.61,41.7
Toulouse_43.546210_1.390763,Toulouse,43.54621041351355,1.3907629693285235,10,0,5,0,1,0,16,19,66,1,0,0,1,3,2,189,3.46,1.0,10.55,42.2
Toulouse_43.546210_1.393873,Toulouse,43.54621041351355,1.3938731131230253,4,0,6,0,0,0,16,19,45,1,0,0,1,5,1,152,3.24,1.0,9.9,42.03
Toulouse_43.546210_1.396983,Toulouse,43.54621041351355,1.3969832569175271,7,0,6,0,0,0,13,11,26,1,0,0,1,5,2,110,3.24,1.0,7.32,41.62
Toulouse_43.546210_1.400093,Toulouse,43.54621041351355,1.400093400712029,7,0,4,0,0,0,9,9,9,1,0,0,0,7,2,67,1.03,1.0,4.92,41.2
Toulouse_43.546210_1.403204,Toulouse,43.54621041351355,1.4032035445065307,7,0,4,0,0,0,3,2,1,0,0,0,0,5,2,34,0.76,1.0,1.49,40.42
