store_name,address,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,cafes,fast_food,bars,post_offices,tourism_total,attractiveness_score,competition_score,accessibility_score,suitability_score,global_score
Paris Marais,5 rue Commines 75003 Paris,Paris,48.86194340587166,2.365386057479095,962,19,220,16,15,4,31,5,1716,43,1,6,22,111,0,82,38,52,3,220,50.735638372764086,38.56744591258894,43.10095730891996,55.494142094757706,46.974545922257676
Paris Montmartre,9 rue des Abbesses 75018 Paris,Paris,48.88398435254506,2.3388138268114025,575,10,273,14,16,6,46,4,1824,58,17,5,12,47,0,73,58,104,4,232,38.715074867107205,21.714825032670248,54.59656802911525,56.7493092729142,42.943944300451726
Paris Saint-Germain-des-Prés,53 rue du Four 75006 Paris,Paris,48.852149127909634,2.3304371313157537,1258,69,151,25,15,6,48,5,1315,46,5,5,9,66,0,56,32,35,7,161,36.76073341038459,93.96631334398144,48.591592519641566,35.70113623202918,53.75494387650919
Bordeaux,80 rue du Pas-Saint-Georges 33000 Bordeaux,Bordeaux,44.83786205443212,-0.57175373163398,679,23,265,14,15,1,10,11,355,8,9,5,3,55,0,73,52,65,3,52,57.09269784286767,65.38537020517396,39.580162504954416,48.52174925708679,52.644994952520705
Strasbourg,"Rue des Juifs 2, 67000 Strasbourg",Strasbourg,48.58278963803519,7.751400197967557,561,20,196,18,10,0,18,26,547,23,4,9,13,46,0,39,36,48,3,141,55.36232265767664,64.71493212669684,35.658865440115434,46.53349154310795,50.56740294189921
Lille,"Rue Lepelletier 34, 59800 Lille",Lille,50.63872270229288,3.0624484336298208,713,39,180,21,9,1,10,38,343,28,174,4,7,99,0,69,65,93,2,238,74.44771625511285,91.309963099631,32.66933764357933,41.813767580260325,60.06019614464588
Toulouse,"Rue de la Pomme 6, 31000 Toulouse",Toulouse,43.602107793277455,1.447046689217142,1377,58,237,28,19,4,27,12,899,24,42,6,5,203,0,81,108,61,5,181,73.21456936571145,100.0,72.20363950452021,50.057887406766405,73.8690240692495
